wavelength,flux,flux_error
336.0,-0.010651411248580074,1.2336793789042547e-18
338.0,0.11575441316008322,9.001523340071568e-19
340.0,0.4881582297707503,7.26688824599766e-19
342.0,0.5906210726614045,6.161574899494662e-19
344.0,0.36671720954559084,5.744387639850808e-19
346.0,0.15270494045811941,5.584953194746993e-19
348.0,0.18462075871414257,5.817172203843825e-19
350.0,0.2095940846429608,6.097682256310494e-19
352.0,0.0728996010712461,6.651055764500056e-19
354.0,0.081035084712229,7.049626551561525e-19
356.0,0.4224230835569382,6.663282298346712e-19
358.0,0.5910511178954132,5.856122770620988e-19
360.0,0.3008182759262949,5.433387734060624e-19
362.0,-0.16018678816813198,5.250674335032504e-19
364.0,-0.2809670178957877,5.183284962488309e-19
366.0,-0.01592075763710384,5.322943482175666e-19
368.0,0.20927209834103938,5.614606805179025e-19
370.0,0.0731721724797916,5.847657540968131e-19
372.0,-0.1376196559868559,5.988497912319506e-19
374.0,-0.05758249994946923,6.2819417529451e-19
376.0,0.3101555062125333,6.545905651288597e-19
378.0,0.536735962348839,6.783820038798097e-19
380.0,0.4334659606546913,6.972170015579675e-19
382.0,0.12003550810645595,6.842700274594353e-19
384.0,-0.054216077458532234,6.522446294870424e-19
386.0,-0.01524808008468583,5.989576677574031e-19
388.0,0.11985711298855126,5.335015193930466e-19
390.0,0.2395034641747849,4.669168041112772e-19
392.0,0.32487525745524115,4.052859110037426e-19
394.0,0.36141404054300075,3.644051804194305e-19
396.0,0.3375973143040471,3.3066467651806806e-19
398.0,0.2669827555533756,2.9785444183371053e-19
400.0,0.18858562720547709,2.7956777985927185e-19
402.0,0.18474047123611678,2.6425291629270554e-19
404.0,0.24112911618546945,2.4679567299311305e-19
406.0,0.3327842335402778,2.4024561344352377e-19
408.0,0.3942060063950646,2.3296946292499745e-19
410.0,0.3911282832321921,2.2243392209298315e-19
412.0,0.32687493446215465,2.1996463745102353e-19
414.0,0.2682195387578702,2.1732015806290956e-19
416.0,0.24866834804333987,2.0759070540995857e-19
418.0,0.2663338418918628,2.0605327935741887e-19
420.0,0.3133066001483474,2.0922241985320612e-19
422.0,0.36091215327380377,2.013919764748869e-19
424.0,0.3872512118046192,1.9525557474714347e-19
426.0,0.38795307010474617,1.9897923016275034e-19
428.0,0.383172201497578,1.9669637718744686e-19
430.0,0.37488968683092944,1.8622374850737635e-19
432.0,0.3641896634493851,1.8431557734764148e-19
434.0,0.3502882790369617,1.8910258203080366e-19
436.0,0.34230226441814954,1.841947229339962e-19
438.0,0.36752165320270425,1.7487815585025728e-19
440.0,0.4271630083346821,1.7458969355655822e-19
442.0,0.5158354834848492,1.7892150851102692e-19
444.0,0.6337333307865803,1.7421638194238417e-19
446.0,0.7533489356549002,1.6521841098530234e-19
448.0,0.8432944389305151,1.643995224269771e-19
450.0,0.8828040977724186,1.6818122525463064e-19
452.0,0.86910847031494,1.6569847704272952e-19
454.0,0.8194644467558235,1.567428197328017e-19
456.0,0.7660679955581231,1.5317240937278122e-19
458.0,0.7155588477284384,1.5522211598826214e-19
460.0,0.6779321570354722,1.5528736464068994e-19
462.0,0.6658308688574731,1.4868629818550454e-19
464.0,0.6779772297248339,1.417846487216298e-19
466.0,0.7007438511854324,1.4104669771886855e-19
468.0,0.725103878716186,1.4284450881434617e-19
470.0,0.7450701084317611,1.4158589470833304e-19
472.0,0.763513047300658,1.36040832154148e-19
474.0,0.7895589975185948,1.31244142912145e-19
476.0,0.8302617049655869,1.3056487135162047e-19
478.0,0.8752950950683696,1.3092113658101976e-19
480.0,0.9196717988645309,1.3000492502739782e-19
482.0,0.9621204211344422,1.2670066933117085e-19
484.0,1.006797309761713,1.2338923188069268e-19
486.0,1.0405772269188438,1.216906782093031e-19
488.0,1.0564708350349532,1.208916960814653e-19
490.0,1.0542646710369323,1.1996939136055907e-19
492.0,1.039788341509472,1.1881768360421232e-19
494.0,1.0150068285267155,1.1728852232689218e-19
496.0,0.982028090475523,1.1563366782086197e-19
498.0,0.945795601232467,1.1378987550050555e-19
500.0,0.9087256159617948,1.1161783721250438e-19
502.0,0.8684462095814419,1.096390020609413e-19
504.0,0.8312609939410018,1.0915082514811668e-19
506.0,0.7995358122415559,1.094157744248077e-19
508.0,0.7795065284679357,1.0934332988753111e-19
510.0,0.7744411959540611,1.0800365116505778e-19
512.0,0.78429496184716,1.0541544658397731e-19
514.0,0.8105722035538313,1.0305484346030784e-19
516.0,0.8539700578396158,1.0228699565921474e-19
518.0,0.912541471157114,1.0307837658353886e-19
520.0,0.9792056299418274,1.0390250117557097e-19
522.0,1.049805120739621,1.036589384945232e-19
524.0,1.116317249320599,1.01842089432302e-19
526.0,1.170813829685834,9.920993106251112e-20
528.0,1.210051446341865,9.74135616279033e-20
530.0,1.2311081603384963,9.735132420855395e-20
532.0,1.2302130830615365,9.832686503445576e-20
534.0,1.2114544682255441,9.910771525493108e-20
536.0,1.1806470652474224,9.858870035652789e-20
538.0,1.1401320653056115,9.62648322073469e-20
540.0,1.0945216034776073,9.288479356733837e-20
