wavelength,flux,flux_error
336.0,1.0223445021369829e-17,4.508395387575799e-19
338.0,9.14015506865629e-18,3.2992070467827555e-19
340.0,8.74747543223419e-18,2.7159711077186134e-19
342.0,8.394264350558689e-18,2.3261183711857775e-19
344.0,8.177749076766631e-18,2.2044278738143526e-19
346.0,8.065640376408428e-18,2.1610485185865044e-19
348.0,8.155990979747301e-18,2.278514481185648e-19
350.0,7.8821719289206e-18,2.402254545861229e-19
352.0,7.41646337426536e-18,2.6481613610944705e-19
354.0,7.137583273464704e-18,2.793438644335241e-19
356.0,7.297454755112355e-18,2.678483599952429e-19
358.0,7.504532080996315e-18,2.369854130694862e-19
360.0,7.661033607705726e-18,2.195235736380634e-19
362.0,7.42438193693427e-18,2.1317835907251784e-19
364.0,7.093824164701195e-18,2.1245578268871068e-19
366.0,6.89919129592953e-18,2.214314691964243e-19
368.0,7.004841121090702e-18,2.305597038821617e-19
370.0,7.085448421532144e-18,2.4348246410891697e-19
372.0,7.380124293310908e-18,2.5307492993488014e-19
374.0,7.76533491665737e-18,2.6481743902501526e-19
376.0,8.106964956307206e-18,2.808091803578193e-19
378.0,8.439354655373598e-18,2.903234408950002e-19
380.0,8.448435659016317e-18,3.030165173415286e-19
382.0,8.905251364930827e-18,2.99279088675292e-19
384.0,9.454033600477522e-18,2.8607041571333264e-19
386.0,9.825322511390586e-18,2.684990304937984e-19
388.0,1.0035735337225256e-17,2.3731609245856404e-19
390.0,9.500782869890845e-18,2.1228802580952894e-19
392.0,9.0909295810762e-18,1.8885471073869088e-19
394.0,8.952073588077417e-18,1.671767773459034e-19
396.0,8.834260713675838e-18,1.552893848405569e-19
398.0,9.119597302073501e-18,1.4240200066324277e-19
400.0,9.623578903560421e-18,1.32249262142064e-19
402.0,9.774454564642838e-18,1.284076640947349e-19
404.0,9.915093427883564e-18,1.212730831057299e-19
406.0,9.903787297284196e-18,1.1611126190737874e-19
408.0,9.494880646967449e-18,1.1527745042324113e-19
410.0,9.1902672706353e-18,1.112736852813193e-19
412.0,9.143871321255362e-18,1.0760183484538347e-19
414.0,9.102308872613652e-18,1.083377447112416e-19
416.0,9.179879771025555e-18,1.0657308727911096e-19
418.0,9.478507737152757e-18,1.0302058360780874e-19
420.0,9.625983697171856e-18,1.0394106853478106e-19
422.0,9.538492793395358e-18,1.0396024352599499e-19
424.0,9.376199783667401e-18,9.993313950532828e-20
426.0,9.15368739972246e-18,9.896434841270898e-20
428.0,8.722570214490746e-18,9.980282249371164e-20
430.0,8.358729127940255e-18,9.750367588134013e-20
432.0,8.168772825264428e-18,9.364872702063045e-20
434.0,8.127151284689425e-18,9.404102556458084e-20
436.0,8.113735776313395e-18,9.411437196084571e-20
438.0,8.237955822267606e-18,9.085681379387567e-20
440.0,8.45201531905193e-18,8.756476240182297e-20
442.0,8.690484142357745e-18,8.852805929971277e-20
444.0,8.765046420971135e-18,8.852351302882179e-20
446.0,8.742868619947767e-18,8.508753361322398e-20
448.0,8.67551727603867e-18,8.15771436046052e-20
450.0,8.587976291814457e-18,8.19971018668079e-20
452.0,8.434467745121027e-18,8.256803548742633e-20
454.0,8.28789794334345e-18,8.002379657406882e-20
456.0,8.203073504938294e-18,7.615063468628742e-20
458.0,8.23386854513566e-18,7.514756304262141e-20
460.0,8.303362326020212e-18,7.603078768936857e-20
462.0,8.32372754524374e-18,7.494054958236048e-20
464.0,8.295630893648467e-18,7.148820241424594e-20
466.0,8.249666759103375e-18,6.843026372669147e-20
468.0,8.232714833748763e-18,6.821872242594367e-20
470.0,8.165792212102017e-18,6.857923501443358e-20
472.0,8.046076445281333e-18,6.711920654605245e-20
474.0,7.897080711474259e-18,6.401652151516347e-20
476.0,7.728130230792413e-18,6.140440832057669e-20
478.0,7.582050615883996e-18,6.078303183944039e-20
480.0,7.478125597373734e-18,6.102830656637581e-20
482.0,7.341321754501845e-18,6.019301094315655e-20
484.0,7.17847303046365e-18,5.815752511741108e-20
486.0,7.010008109390422e-18,5.580266427510945e-20
488.0,6.932571368542485e-18,5.457407695515787e-20
490.0,6.954285900369725e-18,5.439271041528794e-20
492.0,7.027110152864988e-18,5.427593124528555e-20
494.0,7.099292639396771e-18,5.34380187264718e-20
496.0,7.156843874677472e-18,5.1917804258195657e-20
498.0,7.206667871105754e-18,5.04197652500025e-20
500.0,7.253017874390512e-18,4.9508095064724596e-20
502.0,7.265106524787514e-18,4.9020451039906295e-20
504.0,7.249788066701708e-18,4.8843748787136243e-20
506.0,7.160441189523707e-18,4.842907950086675e-20
508.0,7.008902204446645e-18,4.759198729551697e-20
510.0,6.836769453593649e-18,4.646189087825081e-20
512.0,6.687716980762143e-18,4.5313249315809205e-20
514.0,6.5975653945655e-18,4.451116546090189e-20
516.0,6.561287582532092e-18,4.418170145988119e-20
518.0,6.5543775834599536e-18,4.412229853160207e-20
520.0,6.545057921136925e-18,4.386330603627284e-20
522.0,6.5463400692830596e-18,4.3258935206280785e-20
524.0,6.5545197572182745e-18,4.22691714697166e-20
526.0,6.565708605692668e-18,4.11312191872871e-20
528.0,6.586132181920613e-18,4.0313407696302465e-20
530.0,6.598890761328973e-18,4.003941636820924e-20
532.0,6.5668362323519104e-18,4.0069242812099876e-20
534.0,6.493144269209733e-18,4.008044685314194e-20
536.0,6.3971281596452e-18,3.9767445366731215e-20
538.0,6.286161611524929e-18,3.8926618867418205e-20
540.0,6.178787292894803e-18,3.772920314722924e-20
542.0,6.102961519805448e-18,3.665108490259343e-20
544.0,6.0616900551099e-18,3.6040700196352806e-20
546.0,6.0244731269123344e-18,3.5836432170095226e-20
548.0,5.9959327349943175e-18,3.5898005358492106e-20
550.0,5.968069557789568e-18,3.5858165302064085e-20
552.0,5.942558408008118e-18,3.5464649722305165e-20
554.0,5.901279393808092e-18,3.4552742744597554e-20
556.0,5.87607278684812e-18,3.348605153543218e-20
558.0,5.8558780063129485e-18,3.251463440169651e-20
560.0,5.833814966548936e-18,3.189543172514629e-20
562.0,5.808117760202185e-18,3.173426039579805e-20
564.0,5.7741327872467484e-18,3.188623283926983e-20
566.0,5.731456593802863e-18,3.207669361864789e-20
568.0,5.677609470081767e-18,3.201132126506354e-20
570.0,5.633002117696591e-18,3.1638650558540294e-20
572.0,5.6010370451743394e-18,3.097603501439684e-20
574.0,5.562414279814472e-18,3.006251987168739e-20
576.0,5.528991319389145e-18,2.9184812670679487e-20
578.0,5.485985054664669e-18,2.845285112464995e-20
580.0,5.443034611720969e-18,2.7982488497493335e-20
582.0,5.381975194304222e-18,2.760314007874063e-20
584.0,5.297153938863307e-18,2.712796106922601e-20
586.0,5.220478365323596e-18,2.6571970463687553e-20
588.0,5.142849052000544e-18,2.581436939038632e-20
590.0,5.0799013699808865e-18,2.4952351628056316e-20
592.0,5.0476327021483706e-18,2.415446072375082e-20
594.0,5.011688200444022e-18,2.3385322564229732e-20
596.0,4.9887383003899345e-18,2.2850536748749285e-20
598.0,4.992721810757476e-18,2.2684075912156142e-20
600.0,5.004790685874965e-18,2.279141305162017e-20
602.0,5.016121427393457e-18,2.304936754480284e-20
604.0,5.009416612317536e-18,2.325174206346135e-20
606.0,4.989167811818737e-18,2.3294397252464363e-20
608.0,4.949983786492796e-18,2.3069501270106083e-20
