wavelength,flux,flux_error
336.0,6.137176916750945e-18,3.6794572478821086e-19
338.0,4.95830075837785e-18,2.6689713637730457e-19
340.0,4.559349501685954e-18,2.1723768481693604e-19
342.0,4.922174573655306e-18,1.8602287517014237e-19
344.0,5.360188434141516e-18,1.7476554210298687e-19
346.0,5.296225901207816e-18,1.7124465301618281e-19
348.0,5.003445771951239e-18,1.7947441286097203e-19
350.0,4.785835136768238e-18,1.8958604284875646e-19
352.0,4.959970505406148e-18,2.0860427096911105e-19
354.0,5.320118126728438e-18,2.2121042327481516e-19
356.0,5.32039443261091e-18,2.1118104250232786e-19
358.0,4.955973384653133e-18,1.8755084398327633e-19
360.0,4.846211509682626e-18,1.7309893373009845e-19
362.0,4.920176070337609e-18,1.6935344477712853e-19
364.0,5.2217640015221496e-18,1.678367316433458e-19
366.0,5.352340017440288e-18,1.7593653128972805e-19
368.0,5.206111170837927e-18,1.8296170075748003e-19
370.0,4.8776940111083815e-18,1.9316766752107384e-19
372.0,4.857432022889546e-18,2.0125015457707794e-19
374.0,5.3694187403028655e-18,2.09667396298202e-19
376.0,5.816751947132548e-18,2.234793291041218e-19
378.0,5.9220697194114015e-18,2.289119796201502e-19
380.0,5.6757012097349304e-18,2.404351530803517e-19
382.0,5.6184876427751e-18,2.3699806051595243e-19
384.0,6.006260637325185e-18,2.245106948787249e-19
386.0,6.374846110942693e-18,2.1277200966850722e-19
388.0,6.460486974722221e-18,1.8617518433361524e-19
390.0,6.167349950741324e-18,1.6670182902106391e-19
392.0,5.845624976842292e-18,1.4912164938887076e-19
394.0,5.8011561161962765e-18,1.3027625544712666e-19
396.0,5.923142847297532e-18,1.2188794747887756e-19
398.0,6.2441286673965365e-18,1.1218306983239591e-19
400.0,6.5382105586136794e-18,1.0293808931298774e-19
402.0,6.825495918691537e-18,1.007436615651664e-19
404.0,6.916417713841333e-18,9.540977322425635e-20
406.0,6.907126518290584e-18,9.04141356440641e-20
408.0,6.838987042236236e-18,9.044557175273472e-20
410.0,6.753375025812813e-18,8.756446118954818e-20
412.0,6.688025747792289e-18,8.382992535343294e-20
414.0,6.7450635317298134e-18,8.486243859142186e-20
